Razão Social;CNPJ;PÚBLICO-ALVO;MANDATO;SEGMENTO;TIPO DE FUNDO;PRAZO DE DURAÇÃO;TIPO DE GESTÃO;TAXA DE ADMINISTRAÇÃO;VACÂNCIA;NUMERO DE COTISTAS;COTAS EMITIDAS;VAL. PATRIMONIAL P/ COTA;VALOR PATRIMONIAL;ÚLTIMO RENDIMENTO;Valor Patrimonial Unidade;Papel
VINCI INSTRUMENTOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO;31.547.855/0001-60;fii.GENERAL;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;0,95;0,00;5.516;8.089.179;7,97;64,51;0,07;Milhões;VIFI11
VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;24.853.044/0001-22;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,95;2,00;144.566;14.997.385;112,45;1,69;0,72;Bilhão;VILG11
VINCI OFFICES FUNDO DE INVESTIMENTO IMOBILIÁRIO;12.516.185/0001-70;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Ativa;1,20;8,00;144.128;82.826.284;10,21;845,43;0,05;Milhões;VINO11
VINCI SHOPPING CENTERS FUNDO DE INVESTIMENTO IMOBILIÁRIO;17.554.274/0001-25;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;1,35;5,50;343.930;28.828.629;123,85;3,57;0,81;Bilhões;VISC11
WARREN SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO;43.440.579/0001-16;Investidor Qualificado;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Ativa;1,00;0,00;781;2.456.499;5,90;14,49;0,10;Milhões;WSEC11
WHG REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO;41.256.643/0001-88;Geral;Híbridos;Híbrido;Fundo misto;Indeterminado;Ativa;1,00;0,00;13.887;30.912.367;9,62;297,36;0,10;Milhões;WHGR11
XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO;16.802.320/0001-03;Geral;Renda;Lajes Corporativas;Fundo de Tijolo;Indeterminado;Passiva;0,80;57,00;17.491;2.414.559;28,87;69,72;0,02;Milhões;XPCM11
ZAGROS MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO;45.188.066/0001-95;Investidor Qualificado;Híbridos;Híbrido;Fundo misto;Indeterminado;Ativa;1,5;0,00;405;8.891.651;9,34;83,08;0,06;Milhões;ZAGH11
XP INDUSTRIAL FUNDO DE INVESTIMENTO IMOBILIARIO;28.516.325/0001-40;Geral;Renda;Outros;Fundo de Tijolo;Indeterminado;Ativa;Entre 3,5;5,60;43.031;7.150.411;101,97;729,16;0,74;Milhões;XPIN11
FUNDO DE INVESTIMENTO IMOBILIÁRIO ZAVIT REAL ESTATE;40.575.940/0001-23;Geral;Renda;Híbrido;Fundo misto;Indeterminado;Ativa;1,25;0,90;2.746;1.173.311;135,68;159,20;1,10;Milhões;ZAVI11
XP Malls Fundo de Investimento Imobiliario - Fii;28.757.546/0001-00;Geral;Renda;Shoppings / Varejo;Fundo de Tijolo;Indeterminado;Ativa;0,55;4,00;604.153;56.720.776;115,57;6,56;0,92;Bilhões;XPML11
XP SELECTION FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO;30.983.020/0001-90;Geral;Títulos e valores mobiliários;Títulos e Valores Mobiliários;Fundo de fundos;Indeterminado;Ativa;1;0,00;59.903;43.302.129;7,62;329,79;0,07;Milhões;XPSF11
XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;26.502.794/0001-85;Geral;Renda;Logístico / Indústria / Galpões;Fundo de Tijolo;Indeterminado;Ativa;0,95;7,40;338.125;31.175.920;106,83;3,33;0,82;Bilhões;XPLG11
INTER TEVA INDICE DE PAPEL FUNDO DE INVESTIMENTO IMOBILIÁRIO;36.312.772/0001-06;Geral;Renda;Títulos e Valores Mobiliários;Fundo de papel;Indeterminado;Passiva;0,30;0,00;13.206;748.140;68,44;51,21;0,78;Milhões;ITIP11
